PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Groningen,42534,25GM,25GM02,dr Aletta Jacobs College voor Lyc Havo Mavo Vbo Lwoo,Laan van de Sport,6,9603 TG,HOOGEZAND,MIDDEN-GRONINGEN,Openbaar,598350250,www.aletta.nl,PRO,Noord
Groningen,42534,25GM,25GM04,dr Aletta Jacobs College voor Lyc Havo Mavo Vbo Lwoo,Laan van de Sport,8,9603 TG,HOOGEZAND,MIDDEN-GRONINGEN,Openbaar,598350250, ,VBO/MAVO/HAVO/VWO,Noord
Groningen,42590,30JM,30JM00,VO Eemsdelta  praktijkonderwijs,Pastorielaan,4-A,9901 CE,APPINGEDAM,EEMSDELTA,Bijzonder,596693693,www.vo-eemsdelta.nl,PRO,Noord
Groningen,42590,30PP,30PP00,"VO Eemsdelta voor vwo, havo en vmbo",Pastorielaan,4,9901 CE,APPINGEDAM,EEMSDELTA,Bijzonder,596693693,www.vo-eemsdelta.nl,VBO/MAVO,Noord
Groningen,42590,30PP,30PP01,"VO Eemsdelta  voor vwo, havo en vmbo",Poststraat,1,9628 AA,SIDDEBUREN,MIDDEN-GRONINGEN,Bijzonder,186626477, ,VBO/MAVO,Noord
Groningen,42590,30PP,30PP02,"VO Eemsdelta  voor vwo, havo en vmbo",Sikkel,3,9932 BD,DELFZIJL,EEMSDELTA,Bijzonder,596693693,www.vo-eemsdelta.nl,BRUGJAAR,Noord
Groningen,42590,30PP,30PP04,"VO Eemsdelta  voor vwo, havo  en vmbo",Pastorielaan,4-D,9901 CE,APPINGEDAM,EEMSDELTA,Bijzonder,596693693,www.vo-eemsdelta.nl,HAVO/VWO,Noord
Groningen,42880,16ZK,16ZK00,Hogeland College voor Ath Havo Mavo Vbo Lwoo,A.G. Bellstraat,2,9989 AT,WARFFUM,HET HOGELAND,Openbaar,595425005,www.hogeland.nl,VBO/HAVO/VWO,Noord
Groningen,42880,16ZK,16ZK01,Hogeland College voor Ath Havo Mavo Vbo Lwoo,Meeden,35,9951 HX,WINSUM GN,HET HOGELAND,Openbaar,595571605, ,VBO/MAVO,Noord
Groningen,42880,16ZK,16ZK02,Hogeland College voor Ath Havo Mavo Vbo Lwoo,Sportlaan,2,9981 JZ,UITHUIZEN,HET HOGELAND,Openbaar,595431236, ,VBO/MAVO,Noord
